             HA	            DEC	   HA_corrected	  DEC_corrected
       359.8530	        49.3618	       359.8302	        49.3566
       359.0595	        49.3621	       359.0344	        49.3563
       358.6467	        48.5757	       358.6202	        48.5704
       358.7426	        47.9952	       358.7157	        47.9890
       359.3018	        47.5443	       359.2764	        47.5402
         0.1277	        47.3781	         0.1062	        47.3726
         0.9784	        47.5459	         0.9565	        47.5406
         1.5130	        47.9950	         1.4912	        47.9897
         1.6015	        48.5759	         1.5815	        48.5709
         1.1810	        49.0916	         1.1609	        49.0866
         0.3888	        49.3618	         0.3680	        49.3562
         3.7505	        59.1596	         3.7460	        59.1534
        13.6399	        55.5844	        13.6562	        55.5806
        16.8095	        49.4771	        16.8228	        49.4751
        14.2256	        43.3410	        14.2226	        43.3389
         8.0493	        38.9587	         8.0318	        38.9558
         0.1721	        37.3798	         0.1390	        37.3752
       346.0305	        43.3381	       346.0268	        43.3299
       343.3951	        49.4755	       343.3827	        49.4642
       346.4866	        55.5816	       346.4735	        55.5713
       356.2980	        59.1556	       356.3150	        59.1503
       349.9718	        68.7882	       349.9571	        68.7797
       330.6683	        61.3691	       330.6130	        61.3504
       327.6855	        50.5430	       327.6524	        50.5247
       332.8904	        40.1938	       332.8751	        40.1824
       342.2854	        32.2453	       342.2801	        32.2421
       353.9405	        27.9283	       353.9479	        27.9324
        18.0167	        32.2465	        18.0583	        32.2526
        27.3540	        40.1959	        27.4101	        40.1986
        32.4934	        50.5429	        32.5621	        50.5443
        29.3541	        61.3697	        29.4331	        61.3686
         9.8528	        68.7874	         9.8488	        68.7855
        24.8416	        77.8520	        24.9430	        77.8552
        50.1541	        65.3629	        50.2216	        65.3706
        48.7586	        50.9026	        48.8092	        50.9118
        40.5704	        37.6438	        40.6010	        37.6560
        29.0270	        26.9109	        29.0443	        26.9249
        15.2314	        19.8461	        15.2378	        19.8605
         0.1719	        17.3699	         0.1667	        17.3806
       345.1138	        19.8521	       345.1000	        19.8519
       331.3097	        26.9182	       331.2973	        26.9084
       319.7481	        37.6507	       319.7256	        37.6327
       311.4726	        50.9050	       311.4445	        50.8834
       309.8350	        65.3655	       309.7867	        65.3403
       334.1922	        77.8420	       334.2300	        77.8374
       277.5958	        83.3263	       277.5433	        83.3035
       284.4260	        67.5095	       284.3966	        67.4893
       293.7537	        52.2778	       293.7360	        52.2662
       304.2245	        38.1592	       304.2066	        38.1589
       316.0389	        25.7974	       316.0216	        25.8075
       329.4080	        15.9830	       329.3937	        16.0001
       344.3741	         9.5886	       344.3575	         9.6108
        44.3302	        25.8230	        44.3580	        25.8307
        56.1186	        38.1830	        56.1584	        38.1880
        66.5132	        52.2974	        66.5599	        52.2999
        75.6119	        67.5205	        75.6465	        67.5263
        80.7443	        83.3281	        80.7256	        83.3420
       139.2315	        78.1921	       139.0496	        78.2064
       102.7350	        66.5252	       102.7212	        66.5639
        50.0261	        17.0444	        50.0370	        17.0894
        37.1255	         7.9332	        37.1399	         7.9739
        23.0439	         1.3184	        23.0558	         1.3502
         7.9192	        -2.1832	         7.9274	        -2.1629
       258.0345	        66.5420	       258.0152	        66.5112
       221.1586	        78.1886	       221.3312	        78.1729
